,id,text,user,time
51,4400833590373724,昨晚带着儿子去看了，这部#哪吒之魔童降世#再次证明了中国动画水准，我们坚信中国会有更多高水准作品出现！,戴冠宏教练,Fri Aug 02 13:32:34 +0800 2019
52,4400833414659867,二刷，准备三刷中，预计四刷也快了,杜特,Fri Aug 02 13:31:51 +0800 2019
53,4400833087636615,哪吒冲鸭！麻麻的骄傲！,肥兔子还是阿笨猫,Fri Aug 02 13:30:33 +0800 2019
54,4400833313311705,第一部想去电影院二刷的电影,日思夜想的辫儿哥哥a,Fri Aug 02 13:31:28 +0800 2019
55,4400837809510009,哪吒值得！！！国漫崛起！！！冲鸭！！！,一尾葱花鱼,Fri Aug 02 13:49:20 +0800 2019
56,4400833548680418,,栀梦--,Fri Aug 02 13:32:24 +0800 2019
57,4400832668141348,我吒儿优秀！！！,十月颖火,Fri Aug 02 13:28:54 +0800 2019
58,4400832655094239,冲鸭！,AHugoo,Fri Aug 02 13:28:51 +0800 2019
59,4400832516383654,国漫水平越来越高，越来越国际范了,Caption龙天,Fri Aug 02 13:28:18 +0800 2019
60,4400832504508825,已二刷,Prince414_立羽Cqq,Fri Aug 02 13:28:15 +0800 2019
61,4400833246617380,自古红蓝出cp,柠檬不甜不要钱·,Fri Aug 02 13:31:12 +0800 2019
62,4400832923519645,看了，这个超级好看啊！爱死我们的小吒吒和帅丙丙了！报报你要去看啊真心好看的！,小鱼仙倌的神鹿秋,Fri Aug 02 13:29:55 +0800 2019
63,4400832525098851,这两年国产动漫不论电影，电视剧，都有着非常大的进步！设置可以比肩国际，期望中国商业电影也用心做，越来越好,盖老师Gary,Fri Aug 02 13:28:20 +0800 2019
64,4400833292549290,我是小妖怪，逍遥又自在，杀人不眨眼，吃人不放盐～哈哈哈，超喜欢双手插兜的哪吒小可爱,瑾儿1122,Fri Aug 02 13:31:23 +0800 2019
65,4400832831066548,恭喜吒吒！！！！啊啊啊啊,取一个谐音,Fri Aug 02 13:29:33 +0800 2019
66,4400832684246929,谁说中国 动漫差的啊  怼他,王乐飞,Fri Aug 02 13:28:58 +0800 2019
67,4400846085390863,昨天看的，看到哪吒说谁都不准哭时，这时电影院里有个孩子突然说“我真的想哭啊”。全场皆笑，我却忽被感动。,巴蒂乔要快乐,Fri Aug 02 14:22:13 +0800 2019
68,4400837893865330,吒儿说要算分账还没超呢,豚豚_H,Fri Aug 02 13:49:40 +0800 2019
69,4400832378693455,平均每天2亿，后劲十足。,求真先生说,Fri Aug 02 13:27:44 +0800 2019
70,4400836690043008,在大家都想做李现老婆的时候，我只想做哪吒的妈,汪小西-,Fri Aug 02 13:44:53 +0800 2019
71,4400836652222728,片子很不错，只求别瞎j8组cp,她在树荫里,Fri Aug 02 13:44:44 +0800 2019
72,4400832340150867,好看的国漫，已经支持,阿呆就是段景林,Fri Aug 02 13:27:36 +0800 2019
73,4400832281640595,国漫崛起 冲啊,考上复旦法硕再改名,Fri Aug 02 13:27:22 +0800 2019
74,4400844160426472,是真的真的真的好好看！哪吒了不起！国漫了不起！,小野不是花,Fri Aug 02 14:14:34 +0800 2019
75,4400843966786214,我命由我不由天，当初哪吒不理解父亲，可当猪给他演绎真相时，他明白了，父亲希望他不浑浑噩噩生活，所以当天劫咒下来之前，哪吒却将符咒撕碎，并跟父亲说，父亲还没有陪他踢过毽子，这一刻，电影院的人都哭了。。。也许他是魔丸，却也是活出了比灵珠不一样的精彩，他是哪吒，他命由他不由天！！,nobrain555,Fri Aug 02 14:13:47 +0800 2019
76,4400835049808742,“哪吒是你什么人啊？” “他是我儿。”,善良小魔女-pitton,Fri Aug 02 13:38:22 +0800 2019
77,4400832730468501,支持国漫很棒,你肥的O脸-,Fri Aug 02 13:29:09 +0800 2019
78,4400850871175948,国漫宇宙已开启，期待下一部巨作《姜子牙》,开心是最甜的药,Fri Aug 02 14:41:14 +0800 2019
79,4400832780895620,支持国漫！多拍一些中国远古神话故事的电影，这也是一种非物质文化吧！,嘟嘟侠嘟嘟,Fri Aug 02 13:29:21 +0800 2019
80,4400832424671526,支持！棒,旺仔小怪兽呦,Fri Aug 02 13:27:56 +0800 2019
81,4400832378441360,国漫给我冲！！！！！！！！！！！,就是草莓嘛,Fri Aug 02 13:27:44 +0800 2019
82,4400841568123549,没看的都去看一下 这个真的好好看,靓仔靓女集合地,Fri Aug 02 14:04:15 +0800 2019
83,4400836690173299,冲啊,洛洛超甜A,Fri Aug 02 13:44:52 +0800 2019
84,4400836551205825,超好看！,啾咪一口甜桃,Fri Aug 02 13:44:20 +0800 2019
85,4400836463778171,已经二刷过了国漫冲！,天秤座滴小妖,Fri Aug 02 13:43:59 +0800 2019
86,4400836169628682,好棒ヾ ^_^♪,A余诗颖,Fri Aug 02 13:42:49 +0800 2019
87,4400836115479766,还差点报报你发早了@人民日报,似夜流月CC,Fri Aug 02 13:42:35 +0800 2019
88,4400835318560828,吒儿有点棒 感人,请等待我啊,Fri Aug 02 13:39:26 +0800 2019
89,4400834185532772,冲啊吒儿！！！,雀栖云,Fri Aug 02 13:34:55 +0800 2019
90,4400834101959295,吒儿优秀,Stacey-von-willbrand,Fri Aug 02 13:34:36 +0800 2019
91,4400833737176679,吒儿太棒了！！！,小棠酥酥,Fri Aug 02 13:33:09 +0800 2019
92,4400833527342389,厉害,再说晚安L,Fri Aug 02 13:32:19 +0800 2019
93,4400833267085873,确实好看 全程无槽点 小孩子看着欢乐大人看着感动,糖多多s,Fri Aug 02 13:31:17 +0800 2019
94,4400832713883361,冲啊！,cc的邓先生,Fri Aug 02 13:29:04 +0800 2019
95,4400832651099204,我儿冲鸭！！！,_其实是小布,Fri Aug 02 13:28:50 +0800 2019
96,4400832638283453,哦哦~想去看了,圣诞树管虫,Fri Aug 02 13:28:47 +0800 2019
97,4400832571252220,得意，小哪吒继续冲呀！！,陶马卡龙,Fri Aug 02 13:28:31 +0800 2019
98,4400839323591249,还能继续升，因为我还要二刷,知道我名字的人,Fri Aug 02 13:55:21 +0800 2019
99,4400833712325974,主要是暑期空档，也没有什么好电影上映，然后这个刚好暑期。大人小孩都可以看！还不错,一个创口贴,Fri Aug 02 13:33:03 +0800 2019
