,text,score,user,time
56,国漫水平越来越高，越来越国际范了,2.0,Caption龙天,Fri Aug 02 13:28:18 +0800 2019
57,昨天看的，看到哪吒说谁都不准哭时，这时电影院里有个孩子突然说“我真的想哭啊”。全场皆笑，我却忽被感动。,-2,巴蒂乔要快乐,Fri Aug 02 14:22:13 +0800 2019
58,二刷，准备三刷中，预计四刷也快了,3,杜特,Fri Aug 02 13:31:51 +0800 2019
59,哪吒冲鸭！麻麻的骄傲！,-1,肥兔子还是阿笨猫,Fri Aug 02 13:30:33 +0800 2019
60,第一部想去电影院二刷的电影,1,日思夜想的辫儿哥哥a,Fri Aug 02 13:31:28 +0800 2019
61,这两年国产动漫不论电影，电视剧，都有着非常大的进步！设置可以比肩国际，期望中国商业电影也用心做，越来越好,9.0,盖老师Gary,Fri Aug 02 13:28:20 +0800 2019
62,哪吒值得！！！国漫崛起！！！冲鸭！！！,1,一尾葱花鱼,Fri Aug 02 13:49:20 +0800 2019
63,我是小妖怪，逍遥又自在，杀人不眨眼，吃人不放盐～哈哈哈，超喜欢双手插兜的哪吒小可爱,-2.0,瑾儿1122,Fri Aug 02 13:31:23 +0800 2019
64,我吒儿优秀！！！,1,十月颖火,Fri Aug 02 13:28:54 +0800 2019
65,冲鸭！,0,AHugoo,Fri Aug 02 13:28:51 +0800 2019
66,支持国漫！多拍一些中国远古神话故事的电影，这也是一种非物质文化吧！,1.5,嘟嘟侠嘟嘟,Fri Aug 02 13:29:21 +0800 2019
67,吒儿说要算分账还没超呢,0,豚豚_H,Fri Aug 02 13:49:40 +0800 2019
68,钱就应该给那些夜以继日到幕后工作者，而不是流量明星。,-1,Yin俊YJ,Fri Aug 02 16:17:42 +0800 2019
69,片子很不错，只求别瞎j8组cp,2.0,她在树荫里,Fri Aug 02 13:44:44 +0800 2019
70,看了，这个超级好看啊！爱死我们的小吒吒和帅丙丙了！报报你要去看啊真心好看的！,5,改名字的鹿鹿秋,Fri Aug 02 13:29:55 +0800 2019
71,我命由我不由天，当初哪吒不理解父亲，可当猪给他演绎真相时，他明白了，父亲希望他不浑浑噩噩生活，所以当天劫咒下来之前，哪吒却将符咒撕碎，并跟父亲说，父亲还没有陪他踢过毽子，这一刻，电影院的人都哭了。。。也许他是魔丸，却也是活出了比灵珠不一样的精彩，他是哪吒，他命由他不由天！！,-1.0,nobrain555,Fri Aug 02 14:13:47 +0800 2019
72,“哪吒是你什么人啊？” “他是我儿。”,2,善良小魔女-pitton,Fri Aug 02 13:38:22 +0800 2019
73,恭喜吒吒！！！！啊啊啊啊,1,取一个谐音,Fri Aug 02 13:29:33 +0800 2019
74,封神宇宙开篇之作～哈哈加油,1,WoofineNaroo,Fri Aug 02 13:28:00 +0800 2019
75,谁说中国 动漫差的啊  怼他,-2,王乐飞,Fri Aug 02 13:28:58 +0800 2019
76,冲啊,0,洛洛超甜A,Fri Aug 02 13:44:52 +0800 2019
77,平均每天2亿，后劲十足。,1,求真先生说,Fri Aug 02 13:27:44 +0800 2019
78,我们哪咤是陈塘关边上第一rapper守护全世界最好的吒吒在我面前没人能帅的起来我命由我不由天,1,bking豪哥的女友,Fri Aug 02 13:38:26 +0800 2019
79,主要是暑期空档，也没有什么好电影上映，然后这个刚好暑期。大人小孩都可以看！还不错,5.0,一个创口贴,Fri Aug 02 13:33:03 +0800 2019
80,好看的国漫，已经支持,2,阿呆就是段景林,Fri Aug 02 13:27:36 +0800 2019
81,国漫崛起 冲啊,0,考上复旦法硕再改名,Fri Aug 02 13:27:22 +0800 2019
82,两天，连刷两遍IMAX，哈哈！,1,砂珈,Fri Aug 02 16:28:07 +0800 2019
83,还不包括 买哪吒的票 结果出来其他电影票的哦,0,婧_June,Fri Aug 02 16:25:56 +0800 2019
84,是真的真的真的好好看！哪吒了不起！国漫了不起！,3,小野不是花,Fri Aug 02 14:14:34 +0800 2019
85,就我还没看吗？？？？？？？？？？,0,Double_洁洁姐姐,Fri Aug 02 13:31:37 +0800 2019
86,支持国漫很棒,2,你肥的O脸-,Fri Aug 02 13:29:09 +0800 2019
87,国漫宇宙已开启，期待下一部巨作《姜子牙》,0,开心是最甜的药,Fri Aug 02 14:41:14 +0800 2019
88,支持国漫，哪吒冲呀，顺便表白一下制作团队，真的是良心巨制,3,细嗅微光,Fri Aug 02 13:45:10 +0800 2019
89,我命由我不由天！,0,善良小魔女-pitton,Fri Aug 02 13:40:01 +0800 2019
90,单日票房破2亿，3日破7亿，5日破10亿 我去，这句话好燃！！！,0,Basnnn,Fri Aug 02 13:39:27 +0800 2019
91,支持！棒,2,旺仔小怪兽呦,Fri Aug 02 13:27:56 +0800 2019
92,国漫给我冲！！！！！！！！！！！,0,就是草莓嘛,Fri Aug 02 13:27:44 +0800 2019
93,冲鸭冲鸭吒儿妈妈永远爱你,1,迟夏写长信__,Sat Aug 03 23:02:13 +0800 2019
94,昨天去看了 是真的好看 有笑有泪有哲理有思考 “我命由我不由天，是魔是仙我自己说了才算”,4,-欢喜baby-,Sat Aug 03 08:43:46 +0800 2019
95,回本了，导演是你说的要拍下一部哟，期待一波,1,文森特秦,Fri Aug 02 18:43:57 +0800 2019
96,哪托很好看～真的！,3.0,蓮九呀,Fri Aug 02 17:07:25 +0800 2019
97,恭喜国漫再创佳绩！是时候崛起了！冲鸭！（准备二刷中）,4,重庆有家民宿,Fri Aug 02 16:47:07 +0800 2019
98,准备三刷！吒儿冲啊！！,1,chon_gzi,Fri Aug 02 16:00:07 +0800 2019
99,我吒真棒,0,想摸摸哥圆圆滴后脑勺,Fri Aug 02 15:05:42 +0800 2019
